uid,bid,stars
25485,9117,5
6128,4861,5
16893,4540,3
28638,7541,4
9979,8850,1
20438,5558,5
35799,957,2
26002,2248,5
22601,2460,5
5392,6462,5
34573,3555,2
25239,282,4
41191,12047,5
31016,2124,4
39691,2534,5
14178,7426,3
37371,10769,4
15993,9111,4
5816,2041,2
26813,4399,4
27883,6915,1
5572,1754,5
9305,4426,4
4517,10979,3
37026,5456,5
7020,1557,5
32812,61,5
27369,9278,1
29768,717,4
16174,11437,2
22273,11029,4
33712,1405,5
6265,2637,5
21718,6831,4
3914,4694,5
8665,2705,4
5816,11565,5
32543,10134,5
9295,9337,5
35352,2001,4
27765,6736,5
35765,11864,5
8205,2795,5
13468,740,5
20832,8730,4
12768,10976,5
10875,1873,5
18989,1933,1
6611,1926,5
24592,8411,4
38876,11425,3
17520,7743,5
14333,11800,4
20583,7459,2
31556,7590,5
15749,5659,5
4862,299,5
21515,11793,3
1030,3957,5
8788,3916,5
33109,8253,5
38159,2053,5
8659,3502,5
17998,6981,4
17817,11369,4
5628,10246,5
21314,6992,5
33109,4,5
25508,3513,4
20314,5323,5
28835,8787,4
6195,7019,5
40551,8476,4
34631,11249,3
18433,11638,4
33933,6025,5
38579,11911,5
14938,7789,4
40712,12026,5
33735,3248,4
27882,4144,5
7019,8548,3
36002,8554,5
4699,3757,4
14218,11785,5
3544,10420,4
10676,9134,3
8745,6331,5
4876,10418,4
4862,9568,4
40456,11129,5
35713,1765,5
35545,8032,2
13096,497,4
25617,2032,3
32934,6776,4
18756,6473,3
3556,10723,5
12593,8486,4
37690,9263,5
27208,7815,5
8284,7387,5
30884,1889,5
4270,6868,5
16570,586,5
36833,10526,5
14002,4249,4
36061,2471,1
14117,9985,4
3527,1374,4
31448,3505,5
16331,11789,5
9517,11770,4
6109,10871,5
2518,3559,5
14420,10044,5
39113,8485,1
38990,3787,5
22139,756,4
38741,5388,5
16681,6257,5
16574,3524,3
28757,9725,4
12968,10880,4
11004,7288,5
38231,11109,5
23392,2848,5
36107,11419,5
18645,3812,5
12187,1237,3
21024,634,5
36107,6937,4
30499,9187,4
16612,3579,5
38162,3582,3
11311,1762,4
15839,6854,4
15476,3935,5
21574,4579,5
22951,2294,5
22346,6966,4
12576,7626,4
2162,2976,5
15261,4141,1
31887,4446,4
26999,1377,4
26590,1907,5
32803,8918,5
5811,5673,4
21214,5419,3
18188,3920,4
7366,8849,2
25209,40,3
21542,711,5
30477,11638,3
7103,7470,5
25239,3400,5
32771,7946,4
25590,6995,3
32765,3362,5
16287,6374,4
24311,11151,5
5528,7481,5
16307,4365,1
16869,5014,5
2718,3491,5
8923,3289,3
10742,2031,2
6233,200,4
14702,6388,4
8878,10236,2
34554,9041,4
796,5962,5
4125,9207,5
36303,8768,4
32459,8660,5
21605,755,5
39315,1159,2
16735,11972,5
31673,5675,4
36707,7744,1
23952,6805,3
3620,11614,5
20561,9479,4
14584,395,5
31208,8657,3
12517,3997,5
14003,9116,1
26960,10979,1
5969,11611,3
18673,10321,4
31581,2545,4
23706,11673,2
16812,10928,2
21542,6885,3
11683,6756,5
17694,258,5
16959,1067,4
30520,6307,2
29902,2870,2
3963,10492,5
6177,379,2
16329,9311,5
39247,1391,5
20427,2165,5
6611,1711,5
34120,9197,5
13953,8832,5
31188,2935,3
27918,4507,3
6241,11507,4
27739,4150,5
36746,11696,2
13613,2545,3
10446,237,4
34585,3850,3
14760,11811,5
5461,8950,5
11571,6417,5
11496,11165,5
23213,528,3
12656,5163,2
27255,1889,4
25439,9870,5
18680,8807,4
9642,9796,4
10829,10791,4
36128,9758,4
17665,8081,2
7414,1689,5
13276,11298,5
16262,4871,4
16762,628,3
33069,11402,4
36114,4770,2
23881,10115,4
34888,1197,2
12336,123,3
586,10473,5
21185,10104,5
31155,682,4
20314,9442,2
20196,4004,5
20149,2822,4
29657,9691,5
39121,2969,3
33559,5707,4
8213,9601,4
16214,832,5
14215,9012,3
16803,1921,4
30786,1229,5
24962,5985,5
20384,11092,5
4878,9933,3
19900,5759,4
27988,7030,2
20725,831,4
39464,6440,2
8159,9751,5
32137,1907,2
18419,427,5
1375,4561,5
30717,8241,1
27765,11210,4
18779,7749,5
21315,10841,4
29623,1509,5
14799,1685,4
12512,2395,5
9901,7303,5
12754,282,3
8857,9593,5
37974,9732,5
35895,473,5
29763,274,5
8622,6706,2
20874,9569,2
11918,5780,5
8701,9674,4
16196,7712,1
37571,3697,3
15672,10952,5
14351,4083,4
9052,9493,1
28028,8607,3
27076,5431,5
39224,5082,5
28007,11160,4
27139,4017,3
32743,11383,5
37307,2513,1
30873,6622,1
35699,1164,5
562,47,3
24108,3151,5
25834,5022,5
13929,6003,4
27172,10796,5
29307,5683,2
19604,12024,5
3501,995,5
11571,1271,4
27988,250,5
34138,11033,3
41341,8026,1
6022,9099,4
3043,9968,5
27120,5169,2
6505,3595,5
22462,5495,2
10421,6466,5
34021,9042,5
24962,9246,5
35048,1767,5
7837,1650,3
8409,9964,4
8944,6378,2
30469,7615,5
34396,830,5
27073,4169,4
31274,2184,4
5628,3446,5
6633,5296,4
24832,9129,5
6239,538,5
18394,7751,3
13940,10019,5
15703,419,5
4904,468,5
16635,8726,5
21122,6298,5
9303,7635,5
16632,1861,3
19721,6367,3
1223,2824,2
35390,648,2
12916,8788,4
19801,7476,3
37331,6543,4
8701,10460,2
18673,9728,5
15749,8879,4
27974,5175,5
39502,318,1
7019,9454,5
13815,5402,4
19414,7419,5
31249,11366,5
4862,1522,5
9688,6925,5
28645,1090,5
3962,11620,4
3285,4596,2
31672,1483,5
4218,6416,3
13899,7466,4
19429,10003,1
5193,10432,5
12497,10511,3
25430,5551,1
17745,4438,3
6784,8006,5
7716,4597,5
10742,8988,4
41677,4835,4
4270,1411,3
10213,11861,5
34238,2068,5
23846,6868,2
23818,8576,5
3896,1092,5
18478,5227,4
7078,575,3
12299,10420,3
4998,3198,5
16662,3663,5
4878,5170,3
28490,8365,1
32230,7808,5
4563,8493,4
20101,8109,5
18806,11933,1
36615,2433,4
33922,8140,3
14280,1932,4
40320,4226,2
7226,7033,5
4878,8020,3
28836,6876,5
9169,10860,4
36171,3210,4
31274,4611,5
25264,7635,3
3188,9288,4
26009,4848,4
34543,3279,4
10534,9853,3
12787,1571,5
5969,9026,4
32590,10630,4
8981,10108,2
606,10283,5
40035,7766,5
31274,7796,4
10345,4552,5
26130,9026,3
38849,7017,5
1035,6443,5
32797,8207,5
17749,3613,5
10322,5402,5
24719,10110,1
3527,10571,3
13104,9958,1
1885,5902,2
24523,6123,5
23999,10392,5
11400,10320,3
27673,11072,3
27385,5979,5
25814,447,5
8923,2547,3
13473,10719,1
39134,9026,5
3596,4206,1
11440,8239,4
36294,1130,5
3438,3640,2
22673,10721,5
24698,1957,5
31105,10880,3
9026,505,4
18131,9037,4
11928,3671,4
26689,6716,5
23136,1501,4
9256,11165,5
39565,9234,4
14870,919,5
7065,4417,5
19008,6619,5
10967,9877,4
15118,6862,5
14991,9770,1
7674,6011,4
15465,5372,5
29578,11386,5
32676,7397,3
20787,7678,5
13317,7488,1
31507,11836,3
22658,7979,1
15982,1714,5
7674,4233,3
34826,9841,1
37242,7805,4
37773,10653,3
17457,11406,5
28236,7885,3
16350,9498,4
17125,9248,5
34614,10556,5
25059,2958,5
28050,13,4
10377,7652,5
29282,7762,4
27235,1191,4
37415,37,3
22125,1463,4
15435,10626,3
14856,6104,5
10847,11661,4
7045,8325,4
35306,601,2
16851,6925,4
23235,7013,1
11311,730,4
21275,1648,1
18106,321,5
36231,2164,4
16635,4377,5
3012,198,5
38533,9900,2
16350,9630,1
6216,6089,2
19524,3212,5
11649,8475,5
7045,10520,5
713,11038,4
15706,2334,5
33652,11550,5
6923,500,5
10830,7809,2
12299,8992,4
7710,12014,4
10562,6535,4
32266,4449,5
12142,2302,4
25403,2582,4
12803,4436,4
28440,6047,5
16223,3344,1
23226,458,3
33132,11233,4
12091,3698,3
27677,10348,3
20669,1237,5
39754,11496,4
15334,8437,5
10423,5245,1
4878,11526,3
33128,10961,4
24890,11666,4
9555,7915,5
17829,3719,5
13148,8236,3
31693,8727,2
18482,9221,5
12218,12029,5
25105,1744,5
30210,1302,5
4828,1335,3
15728,8589,3
15069,6328,4
23409,9108,1
26159,11851,5
8622,447,4
24994,6506,5
28480,9409,5
7682,1750,1
10913,8526,1
2443,3284,4
13007,1889,5
10897,10800,4
38955,5872,4
21504,5686,4
25032,3184,5
21304,8303,5
15749,3610,5
30987,8378,5
9663,328,5
22474,1067,4
24677,5170,2
17154,1877,5
33472,3454,5
14608,10420,4
5420,10221,3
38472,3873,4
22422,4539,5
31577,10853,1
27940,4020,5
29348,233,4
9156,6970,4
14138,2041,4
14215,6539,4
36532,6488,5
27873,10090,4
16174,3400,5
4361,10530,4
15970,5529,4
3408,8488,2
14360,5698,4
4644,5929,1
19413,374,5
7435,3827,5
32331,11638,4
39945,8291,1
4469,6171,1
11646,4561,5
10048,5978,3
30656,5023,2
22359,8119,2
9597,8016,2
9301,2996,5
24325,11502,5
18028,7468,2
40772,7093,5
11670,3079,5
12823,3000,3
4878,4399,5
29354,6756,5
27579,2748,4
25435,1725,4
9104,769,2
9104,1296,5
15211,4096,4
24406,6867,4
21501,8921,4
8661,8925,1
4576,10902,3
23838,2775,5
28494,8723,5
34395,5858,5
6319,5231,5
6748,5759,5
21728,5594,5
5548,3848,2
20639,4871,4
25859,7918,5
15119,2202,2
25595,8877,2
12239,5649,5
18478,786,2
22859,1665,3
12517,11114,2
29348,5778,5
33121,6633,3
41470,7015,3
10195,9924,4
20205,10898,3
14492,5613,2
10692,2283,1
10285,6955,5
9535,3721,3
9660,10644,3
12809,7510,4
18501,477,4
12806,8901,4
13161,9947,3
7078,6834,5
17657,9466,4
25259,10356,4
4263,7749,5
31556,8607,4
24847,2439,1
21850,1204,4
25695,4165,4
41158,5968,1
34238,10932,5
4618,4144,5
7838,8849,5
5816,5034,4
38540,5117,4
35546,9718,5
12336,4049,3
13921,5569,1
19441,93,2
29948,4881,3
1190,8949,1
32129,3219,5
10713,2105,3
21286,3065,5
33786,3040,5
3525,4980,5
36181,5959,1
12239,5755,4
10596,9423,2
21850,6940,4
10304,11287,4
30623,2277,2
27601,2023,5
35136,11402,5
7959,1804,4
36152,1063,3
25814,10020,5
3074,6190,3
30111,1550,5
27906,3731,2
23458,6204,4
20436,7974,5
25453,11784,5
5595,6488,5
3735,11374,4
19431,8685,1
13619,1335,2
19205,5411,4
35125,4672,5
16822,3874,4
23149,4004,5
23317,2785,4
31601,6896,1
19461,9941,5
17000,9133,2
9411,4049,1
14226,4154,4
16895,1522,5
21850,4360,5
18478,9517,5
31556,751,5
13208,9091,5
7710,7921,4
14053,3778,4
12271,11061,1
12402,9387,4
24844,327,5
31229,1716,5
31274,6504,3
25385,7951,3
6752,7078,2
13953,10115,5
36224,6692,5
20671,10731,5
34281,5627,4
9530,633,3
6362,7413,5
24775,2544,5
27426,2947,5
13823,1540,5
41217,6126,5
27120,5606,2
40516,8526,1
27557,5692,4
31783,6349,4
4000,7347,4
5677,11825,1
22804,11076,5
30045,11510,5
22935,8954,2
14803,4944,2
30232,4303,5
36910,4940,3
16594,4266,3
10228,10798,4
29660,12030,4
13693,4867,5
38867,6754,5
32331,11785,1
7567,915,3
18630,8031,5
21464,1045,5
18894,6446,2
40625,7266,1
9566,4152,5
2872,101,4
12336,11169,3
37236,10831,5
29477,10721,5
15758,10142,4
13921,2881,5
16705,8993,3
6036,2024,3
20744,2440,1
38005,10536,4
5878,4641,4
17520,7869,3
19799,5823,4
8605,8539,2
21737,8386,3
5462,2475,4
6495,8478,4
8559,10872,5
40127,5889,3
6202,3840,5
21356,3146,5
35699,4097,5
16262,8187,5
39280,5817,1
8848,1868,5
17702,5473,5
25814,9515,4
8259,2921,4
7710,9116,4
2786,7842,1
7611,3805,5
30501,9774,3
38371,10,4
33441,3699,4
21397,7929,3
36356,2587,4
35081,9217,5
6156,5410,4
15979,2475,5
26144,2861,4
17767,488,3
22327,3863,4
38491,10958,4
13929,9450,3
22346,9066,4
5573,3814,4
12363,8192,5
19958,9614,5
24857,1635,4
34403,3483,3
7145,10580,4
25456,11981,5
19026,9608,4
13820,11066,3
28028,550,3
5354,8577,5
6036,7331,2
36532,491,4
16066,5180,5
3298,10520,4
5423,4311,5
5697,2973,3
36178,2349,4
15591,1190,1
18690,1657,4
29399,6943,1
20782,7291,5
6628,583,4
16559,1391,5
23317,5510,4
25063,2370,4
40124,4981,2
3270,8808,5
9535,10379,4
16718,2041,2
30861,4092,3
4547,8547,5
22497,9544,4
12640,11271,5
9732,7795,3
12725,1223,4
33866,11788,3
33225,10775,4
5811,4455,3
3810,9610,2
18478,1524,4
18619,7727,3
13942,8981,5
8771,4283,2
25404,497,1
30575,832,4
24250,2598,3
1585,6499,5
16699,2,4
10676,1529,4
29605,6224,5
14624,4277,3
25590,7701,3
41641,1925,2
27208,10488,3
19978,6438,5
14471,1712,4
40809,1377,5
9535,7500,4
39937,415,5
36919,8855,5
27208,7554,3
33009,5800,2
7567,2955,4
24115,4385,5
33407,5144,1
31111,5452,4
40192,198,5
33039,2243,2
8262,11744,5
14205,10126,2
9940,11755,1
39027,958,3
13313,9246,5
40228,9249,5
29307,8887,4
26107,532,4
40577,971,5
20893,4260,4
31570,1205,5
33922,6334,3
8730,6271,1
37236,7674,3
36480,9378,1
12265,11237,1
35888,9931,5
31070,6678,5
15100,942,4
23666,9859,1
4098,1933,1
39912,2434,3
27557,968,5
12791,8420,5
9177,4295,5
18330,854,4
18039,11281,5
11440,3180,4
17378,8825,5
29329,2962,3
11974,5731,4
5969,6564,4
19874,7783,2
37358,4598,1
27589,1778,3
15808,5889,4
18009,6645,4
23165,3682,4
5969,5970,2
27420,11708,4
28757,3181,3
12512,11679,3
6123,2640,2
7710,3624,5
19704,9308,5
11285,10651,2
7682,5460,2
4712,10693,2
313,12034,5
5246,1682,4
18028,4007,5
27097,11175,5
11146,4151,5
40315,476,5
11839,463,5
10395,4223,3
32537,8127,5
9322,3649,5
37995,11026,1
14812,3294,5
20433,5245,1
38950,11079,1
34918,3607,1
27581,2618,5
19358,6284,4
3625,1433,1
6491,744,2
38036,6964,5
12239,9737,5
19297,5223,4
14943,1868,2
7376,3512,4
27821,648,5
19580,579,4
25524,11596,4
14117,5540,5
7189,9308,4
5811,8963,4
5200,5141,1
27120,6166,5
36303,8732,5
4878,3518,4
1578,5759,5
11502,7708,3
36373,498,5
34363,3876,4
40388,10568,4
11178,2843,2
13822,1572,3
6455,8734,2
13921,5132,4
37305,11738,1
25884,6017,5
28350,145,1
38785,9765,2
23913,4490,4
8753,6718,1
30962,2966,4
36290,5416,5
14716,5490,5
27789,1233,4
22223,459,5
7487,5864,5
10111,2552,1
17997,1918,5
15874,328,5
4219,4417,4
25595,1760,5
39977,6744,5
21881,6438,5
19294,1469,2
19504,1880,4
11447,8607,4
35351,10150,2
10246,7456,5
22222,10716,5
13775,5624,5
21261,6012,5
13800,1884,3
8535,4922,5
25814,5460,4
36820,9141,3
21363,6277,4
32543,415,5
16175,2464,5
8931,11472,1
22357,6788,4
27560,5820,1
16681,820,5
2435,6110,5
11905,2773,4
4425,5290,5
10541,8947,4
17973,4317,5
36107,11444,5
8094,1266,5
27988,5887,5
13196,6634,5
13789,4469,4
35912,6044,5
34631,8045,3
19520,3768,3
33121,3501,4
25679,6190,4
16169,7738,3
36899,2651,2
16569,5448,4
33342,10952,4
26130,4252,5
3527,11850,3
23746,7379,4
19978,5222,4
4681,5685,5
19479,11822,4
9098,1240,5
26097,4439,4
10457,10879,2
23894,7674,5
37240,145,5
36680,4566,5
10543,9119,3
28708,3438,1
14862,10852,5
25323,11444,5
34415,7095,5
10679,9271,5
32095,3989,5
23866,387,3
3564,8247,5
8659,9255,5
16307,851,4
33109,3138,5
30533,6036,3
38332,11834,1
12093,9924,3
23543,489,4
22859,4268,2
13636,6121,1
38591,7281,5
31773,2796,5
5282,10782,4
112,1144,5
19903,10782,2
32621,10150,3
15676,9134,5
6481,1883,4
3699,4058,5
38329,5248,5
23458,3643,4
20300,11960,2
14492,4540,1
8748,7160,4
14208,9591,4
19410,4739,3
41652,7043,4
25709,10556,5
25642,4305,4
29456,4227,4
17312,9656,3
41189,10185,5
21345,5724,3
7303,9734,5
27662,2085,5
7261,2571,1
41033,3874,5
4720,10156,5
39187,10876,2
17063,7944,2
4876,2728,4
21884,8552,3
12738,10568,5
12771,10574,5
29605,63,1
29098,9931,5
14538,2306,1
20366,7908,2
31672,2013,5
24123,10577,5
26144,9536,4
26207,1854,4
34705,9710,5
23453,4987,5
27073,999,4
33966,7374,5
8301,6139,1
25700,8366,5
24,16,2
12788,7943,3
25680,3563,5
29486,7094,3
16001,10785,5
7766,11591,3
37980,4329,3
38939,7431,5
8103,2545,4
10558,11850,5
24454,1343,1
38798,2135,4
19958,10652,2
18343,6652,4
14608,9930,4
4712,4322,4
6182,2015,4
9871,5959,5
39826,4146,5
15615,3331,5
10304,3198,4
28812,7995,5
38371,11572,5
8246,9595,4
16178,9780,4
19685,344,4
7319,10300,2
25828,4743,4
9030,2521,3
36904,282,4
35366,3444,1
10923,975,5
15932,2876,2
15043,9603,4
2727,2506,4
18312,971,4
13881,5045,5
23453,9354,4
6520,2069,5
32621,7441,5
12815,1238,5
11440,11662,5
26473,8659,5
26277,9308,3
7674,8781,5
6036,8421,5
13587,840,5
7319,10436,2
7189,1099,5
31343,287,5
27208,2203,3
3558,1799,1
23913,2681,5
27046,10573,4
17087,2866,4
4219,4977,5
12027,380,4
7837,3684,4
33394,4352,5
8599,4757,4
39957,11043,4
13899,6732,5
29948,6347,4
7682,8048,2
36779,6002,5
3992,12044,5
4105,9805,5
33539,2759,5
16176,11740,2
36692,8537,3
18188,4767,4
14174,8458,3
10546,5733,4
14585,714,4
16179,8401,2
25664,6138,4
9969,10155,1
38274,11561,3
38036,1347,4
15859,11081,3
5332,3717,2
31035,9514,5
28078,655,5
24847,5088,5
13233,5924,5
35937,10756,1
38216,3677,3
18696,2868,5
8505,8002,5
12847,9821,1
38974,10644,5
25524,11728,5
21276,11331,4
30469,2479,5
36107,5332,3
34672,6025,4
27091,11171,1
8856,10034,5
825,77,3
10508,1073,4
13225,11848,1
2866,1873,5
22327,6624,3
38280,3373,5
16532,2832,5
15859,7360,3
14545,8037,4
17063,520,1
30520,9208,5
15858,10508,4
14117,11933,5
26035,6829,4
23317,3303,5
32382,8541,5
20760,10757,3
34427,9720,3
6063,5110,1
14826,9227,5
27931,6682,1
39551,11388,5
34631,11964,5
13294,12046,3
25706,9964,4
10143,7286,5
17796,8448,3
19744,11943,3
22177,6427,4
7502,8605,5
10939,3711,4
21335,5775,4
13800,9593,5
34130,154,5
32706,6123,5
10205,7618,5
28092,10701,1
30677,6845,3
10746,7104,2
18024,10932,5
27989,3820,4
27708,4664,2
39264,1036,5
10562,1223,4
18891,7890,5
28727,3456,5
7213,6876,5
19799,4869,5
6028,11032,3
6540,6438,4
12239,4377,4
39783,8769,3
27130,6116,3
32562,2646,5
36680,2357,4
30520,1172,5
22222,11533,3
12295,9870,5
15839,10669,4
11379,11093,4
9663,9792,4
8691,1571,4
19520,9997,2
39877,11088,3
9606,10256,5
28186,271,5
32635,10392,5
4158,7628,5
14628,8660,5
14218,7574,2
35481,1371,2
13815,8647,4
6758,9539,3
11496,8421,5
37899,2104,5
7324,2504,4
10944,3848,4
18394,1557,5
6073,11532,5
25049,8194,5
11866,8472,4
25910,8591,5
21533,10008,4
24091,11222,5
11114,1119,5
33707,2265,5
13104,11786,5
12299,1226,4
12359,3342,5
15043,9955,4
16169,917,4
13225,2855,5
6461,968,2
21267,8555,4
10627,2618,5
1807,9784,4
15721,7064,5
7478,9811,1
21850,8448,3
8801,1661,5
12940,11367,5
6291,5584,5
3766,9120,5
16894,6419,1
15043,8762,5
8967,11695,4
24805,1226,3
18343,3043,2
33342,11806,3
9285,9370,1
9060,5281,4
27094,9744,4
29163,1936,3
32797,7728,5
27498,2689,5
30495,9675,3
4714,2646,3
38380,2644,4
8284,40,4
29498,1499,4
36720,7444,5
21843,12006,3
10432,8125,3
6282,6154,5
19520,6097,2
18595,8025,2
27692,2005,4
29307,10921,5
37218,8352,2
19441,3244,5
40268,11488,4
25663,9032,5
7182,209,4
30533,5162,4
8069,2142,5
9564,10303,3
15154,8693,5
39939,2565,3
3241,11337,3
17559,4426,5
4859,2357,4
34213,11683,5
28332,2226,5
31105,5946,5
21885,11026,2
8103,8326,3
19598,1371,1
18394,3848,2
5933,2395,2
26876,1516,4
6429,1038,5
14215,8993,3
10664,6313,1
5846,2611,5
41114,7231,5
33459,1325,4
5545,1169,5
35306,7602,5
8155,9321,5
22334,5675,4
25848,2962,5
29289,5704,5
7102,11178,4
28672,6583,2
29530,1946,5
36532,9288,2
8155,8110,3
14940,9272,5
10562,9475,3
31441,5285,1
16731,9040,2
26214,2201,5
4649,3789,4
16327,10115,5
6090,4718,3
16262,11464,5
4037,7898,4
14348,10288,5
10854,2769,4
18709,6144,4
27613,5780,1
13815,5565,3
10676,7282,3
8523,10392,5
36140,2847,5
37919,10071,3
25954,11085,5
13809,1293,2
38216,11571,5
5816,11638,4
29390,4127,3
14002,5889,4
25357,10932,4
10982,11785,3
8057,511,3
24937,10057,4
3478,1131,2
36558,284,4
15816,2582,5
5629,10511,3
12777,9569,5
16532,8157,4
4681,4701,5
18671,8908,4
8689,2971,2
39372,1850,4
11603,6983,2
39939,9337,5
10228,11825,3
41300,645,4
32765,9702,2
19479,8668,5
16996,4725,3
29944,7265,2
22057,11527,1
25435,8222,2
36107,4240,5
31511,11492,1
26234,8156,4
21364,11881,4
39912,9887,4
11502,9787,4
21507,7125,5
10246,12044,4
6029,11718,2
32963,4105,2
28459,5185,5
25595,9267,2
34631,10568,5
14333,2247,5
14638,9320,2
4125,1858,4
27825,8325,5
14289,9651,4
22989,5717,2
25092,2924,2
15847,6244,4
4997,2533,2
16090,8907,1
23389,8820,5
40917,4741,4
26144,1716,3
10401,2845,5
5319,958,4
4340,8257,5
1501,6002,5
2854,5287,5
7471,7522,1
13348,10366,5
21718,4862,4
14255,7540,3
34698,4471,3
37971,2851,5
14289,8682,5
3922,6756,5
12745,4608,3
10224,1197,4
29284,824,5
4452,2410,5
21994,5310,4
4158,7656,4
19721,11443,5
36910,4583,4
31274,1163,4
8155,4942,4
36101,7578,5
4294,2479,5
12044,1686,5
28847,11413,5
32366,10110,3
7919,11750,1
9352,7123,5
40102,8930,5
11178,7829,4
21385,1689,1
19441,4955,2
39201,1371,2
31274,984,4
31922,3107,5
32716,4569,1
34707,11936,1
34324,9959,3
16066,10962,5
12028,5735,1
19410,9580,4
24362,5127,5
15780,9502,3
4699,4216,4
38738,3502,1
12239,4705,4
1693,4790,5
14646,11990,5
17954,5137,5
11974,7358,4
26324,2420,5
14208,8901,3
37576,6037,5
16691,11742,5
31672,7762,5
4499,7261,5
14208,5302,3
18028,173,4
31105,4741,5
15541,4815,5
23147,9231,5
22825,8496,1
32543,3146,5
14804,11173,5
34300,2079,3
36555,9305,2
36152,469,4
32723,6851,1
27917,4072,1
8027,3094,5
41114,884,4
29150,8019,1
10805,4820,4
40773,10121,5
11518,260,3
14269,3785,2
40917,7163,3
10492,6876,5
22125,4451,4
28197,5272,5
26798,10673,5
4405,3346,4
4340,2223,5
31569,2662,5
6262,4195,1
16996,1206,5
5697,5038,3
12239,675,4
22431,9376,3
38711,9384,3
13143,3407,5
10195,5389,4
5518,8317,4
7757,6307,4
28006,8849,3
38384,3785,3
10839,2183,2
26524,9437,5
21308,167,5
8622,11203,2
21413,935,5
35031,10763,1
39629,3858,1
21717,3603,5
6389,6947,5
14681,810,4
10219,9895,3
29502,10185,1
12632,11538,5
5721,2126,1
16540,4061,3
32110,490,1
17860,11324,2
14138,11289,3
16137,10764,4
33872,5520,5
5969,9677,4
25139,11599,5
20057,7071,5
13830,2907,5
29825,6594,3
21489,6141,5
36108,1682,2
12791,11443,5
6686,2844,1
11910,2341,5
32655,10501,4
16914,2124,5
40509,4758,5
34988,4037,5
20811,10063,1
18709,8891,3
20742,7323,1
24429,2555,4
14799,8331,5
26838,5159,3
18747,3281,5
24088,8004,5
4878,9153,5
9529,8339,1
36783,11443,5
30656,2697,4
21356,4156,4
10289,901,5
5570,8993,3
27208,5033,4
35154,11840,4
40989,7918,5
38849,1533,2
16202,7033,5
20438,9820,4
26071,2153,5
34447,740,5
7698,2676,1
10620,567,5
4848,8193,1
40886,3370,5
12011,8931,5
32129,11557,5
26310,10753,5
24070,10494,5
20664,11643,5
14679,4218,5
28672,11081,5
33459,9385,3
29005,10848,5
22427,10202,3
30280,10857,5
21031,5119,5
29273,9695,5
13776,3863,3
29825,3866,2
32927,5678,5
25814,11464,5
19720,4451,4
34332,7438,2
10676,3352,4
21757,1726,5
26277,7009,4
5888,3848,1
2278,2218,4
23295,6904,4
14215,9869,5
40024,9738,5
25384,6002,5
22222,1896,5
35474,1867,4
19064,2068,1
9042,2201,5
21276,9308,3
18009,472,5
11322,971,4
11905,7163,4
31662,7904,4
26071,144,3
23794,292,1
21533,1308,5
11496,8515,4
40707,9513,5
22280,7370,5
